3,8,ROMAINÿGROSJEAN,SBGP_R
4,26,DANIILÿKVYAT,SBGP_R
5,11,SERGIOÿPEREZ,SBGP_R
6,19,FELIPEÿMASSA,SBGP_R
7,7,KIMI RAIKKONEN,SBGP_R
8,33,MAXÿVERSTAPPEN,SBGP_R
9,77,VALTTERIÿBOTTAS,SBGP_R
10,9,MARCUSÿERICSSON,SBGP_R
11,12,FELIPEÿNASR,SBGP_R
12,5,SEBASTIANÿVETTEL,SBGP_R
13,14,FERNANDOÿALONSO,SBGP_R
14,22,JENSONÿBUTTON,SBGP_R
15,98,ROBERTOÿMERHI,SBGP_R
16,28,WILLÿSTEVENS,SBGP_R
17,55,CARLOSÿSAINZ,SBGP_R
18,3,DANIELÿRICCIARDO,SBGP_R
19,13,PASTORÿMALDONADO,SBGP_R
20,27,NICOÿHULKENBERG,SBGP_R
1,5,SEBASTIANÿVETTEL,SAGP_R
2,3,DANIELÿRICCIARDO,SAGP_R
3,7,KIMI RAIKKONEN,SAGP_R
4,6,NICOÿROSBERG,SAGP_R
5,77,VALTTERIÿBOTTAS,SAGP_R
6,26,DANIILÿKVYAT,SAGP_R
7,11,SERGIOÿPEREZ,SAGP_R
8,33,MAXÿVERSTAPPEN,SAGP_R
9,55,CARLOSÿSAINZ,SAGP_R
10,12,FELIPEÿNASR,SAGP_R
11,9,MARCUSÿERICSSON,SAGP_R
12,13,PASTORÿMALDONADO,SAGP_R
13,8,ROMAINÿGROSJEAN,SAGP_R
14,53,ALEXANDERÿROSSI,SAGP_R
15,28,WILLÿSTEVENS,SAGP_R
16,22,JENSONÿBUTTON,SAGP_R
17,14,FERNANDOÿALONSO,SAGP_R
18,44,LEWISÿHAMILTON,SAGP_R
19,19,FELIPEÿMASSA,SAGP_R
20,27,NICOÿHULKENBERG,SAGP_R
1,44,LEWISÿHAMILTON,JGP_R
2,6,NICOÿROSBERG,JGP_R
3,5,SEBASTIANÿVETTEL,JGP_R
4,7,KIMI RAIKKONEN,JGP_R
5,77,VALTTERIÿBOTTAS,JGP_R
6,27,NICOÿHULKENBERG,JGP_R
7,8,ROMAINÿGROSJEAN,JGP_R
8,13,PASTORÿMALDONADO,JGP_R
9,33,MAXÿVERSTAPPEN,JGP_R
10,55,CARLOSÿSAINZ,JGP_R
11,14,FERNANDOÿALONSO,JGP_R
12,11,SERGIOÿPEREZ,JGP_R
13,26,DANIILÿKVYAT,JGP_R
14,9,MARCUSÿERICSSON,JGP_R
15,3,DANIELÿRICCIARDO,JGP_R
16,22,JENSONÿBUTTON,JGP_R
17,19,FELIPEÿMASSA,JGP_R
18,53,ALEXANDERÿROSSI,JGP_R
19,28,WILLÿSTEVENS,JGP_R
20,12,FELIPEÿNASR,JGP_R
1,44,LEWISÿHAMILTON,RGP_R
2,5,SEBASTIANÿVETTEL,RGP_R
3,11,SERGIOÿPEREZ,RGP_R
4,19,FELIPEÿMASSA,RGP_R
5,26,DANIILÿKVYAT,RGP_R
6,12,FELIPEÿNASR,RGP_R
7,13,PASTORÿMALDONADO,RGP_R
8,7,KIMI RAIKKONEN,RGP_R
9,22,JENSONÿBUTTON,RGP_R
10,33,MAXÿVERSTAPPEN,RGP_R
11,14,FERNANDOÿALONSO,RGP_R
12,77,VALTTERIÿBOTTAS,RGP_R
13,98,ROBERTOÿMERHI,RGP_R
14,28,WILLÿSTEVENS,RGP_R
15,3,DANIELÿRICCIARDO,RGP_R
16,55,CARLOSÿSAINZ,RGP_R
17,8,ROMAINÿGROSJEAN,RGP_R
18,6,NICOÿROSBERG,RGP_R
19,27,NICOÿHULKENBERG,RGP_R
20,9,MARCUSÿERICSSON,RGP_R
1,44,LEWISÿHAMILTON,USGP_R
2,6,NICOÿROSBERG,USGP_R
3,5,SEBASTIANÿVETTEL,USGP_R
4,33,MAXÿVERSTAPPEN,USGP_R
5,11,SERGIOÿPEREZ,USGP_R
6,22,JENSONÿBUTTON,USGP_R
7,55,CARLOSÿSAINZ,USGP_R
8,13,PASTORÿMALDONADO,USGP_R
9,12,FELIPEÿNASR,USGP_R
10,3,DANIELÿRICCIARDO,USGP_R
11,14,FERNANDOÿALONSO,USGP_R
12,53,ALEXANDERÿROSSI,USGP_R
13,26,DANIILÿKVYAT,USGP_R
14,27,NICOÿHULKENBERG,USGP_R
15,9,MARCUSÿERICSSON,USGP_R
16,7,KIMI RAIKKONEN,USGP_R
17,19,FELIPEÿMASSA,USGP_R
18,8,ROMAINÿGROSJEAN,USGP_R
19,77,VALTTERIÿBOTTAS,USGP_R
20,28,WILLÿSTEVENS,USGP_R
